"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp76","Soil macrofauna biodiversity across land use systems in neotropical biomes","","Records provided by Soil macrofauna biodiversity across land use systems in neotropical biomes, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp76","","","","2178"
"co80","Coleção de Crustacea do INPA","","Records provided by Coleção de Crustacea do INPA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co80","","","","2"
"dr882","Soil macrofauna communities in an integrated production system experiment at the Canguiri Farm in Pinhais, Paraná, Brazil","","Ferreira T, Bruz L S, Nadolny H S, Demetrio W C, da Silva E, Dudas R, Bartz M L, Santos A, Gabriac Q, Brown G (2023): Soil macrofauna communities in an integrated production system experiment at the Canguiri Farm in Pinhais, Paraná, Brazil. v1.2. Embrapa Forestry. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=soil_macrofauna_nita&amp;v=1.2","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr882","","","","264"
"dr761","Museu Paraense Emilio Goeldi - Araneae Collection","","Records provided by Museu Paraense Emilio Goeldi - Araneae Collection, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr761","","","","15"
"dr522","Herbário do Trópico Semiárido","","Herbário do Trópico Semiárido, HTSA (www.cpatsa.embrapa.br).","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr522","","","","103"
"dr521","Herbário Sérgio Tavares","","HST - Herbário Sérgio Tavares","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr521","","","","8"
"dr407","Coleção Zoológica da Universidade Federal de Mato Grosso do Sul - Reptilia","","ZUFMS (2022). Coleção Zoológica da Universidade Federal de Mato Grosso do Sul - Reptilia (ZUFMS-REP). Online at https://inbio.ufms.br/zufms/acervo-online/ and https://doi.org/10.15468/nkpksx, released on 2017-08-15.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr407","","","","1"
"dr524","Coleção de Briófitas do Herbário da Universidade Federal de Minas Gerais","","Herbário UFMG - Briófitas, BHCB-Brio","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr524","","","","45"
"dr887","Observações do iNaturalist para o Brasil","","Records provided by Observações do iNaturalist para o Brasil, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr887","","","","15"
"dr886","HVAT - Herbário da Universidade do Vale do Taquari","","de Freitas E M, Arend Ú, Brentano A G (2023): HVAT - Herbário da Universidade do Vale do Taquari. Jabot - Banco de Dados da Flora Brasileira. v1.39. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=hvat&v=1.39","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr886","","","","1264"
"dr768","Coleção Ictiológica (MNRJ), Museu Nacional (MN), Universidade Federal do Rio de Janeiro(UFRJ)","","Records provided by Coleção Ictiológica (MNRJ), Museu Nacional (MN), Universidade Federal do Rio de Janeiro(UFRJ), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr768","","","","280"
"dr888","Herbário do Parque Estadual Dunas do Natal","","Roque A D A (2023): RN - Herbário do Parque Estadual Dunas do Natal. Jabot - Banco de Dados da Flora Brasileira. v1.36. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=rn_herbarium&v=1.36","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr888","","","","2"
"co79","Herbário da Universidade Técnológica Federal do Paraná Campus Campo Mourão","","Records provided by Herbário da Universidade Técnológica Federal do Paraná Campus Campo Mourão, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co79","","","","8108"
"co563","Coleção de Artropodofauna","","Records provided by Coleção de Artropodofauna, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co563","","","","7469"
"co201","Herbário Profª. Drª. Marlene Freitas da Silva","","Records provided by Herbário Profª. Drª. Marlene Freitas da Silva, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co201","","","","68"
"co440","Herbário RADAMBRASIL do IBGE","","Records provided by Herbário RADAMBRASIL do IBGE, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co440","","","","18"
"co77","Herbário da Universidade Estadual do Centro-Oeste - IRATI","","Records provided by Herbário da Universidade Estadual do Centro-Oeste - IRATI, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co77","","","","108"
"co78","Herbário UNOP da UNIOESTE","","Records provided by Herbário UNOP da UNIOESTE, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co78","","","","1867"
"co562","Coleção Científica de Ascidiacea da Universidade Federal do Paraná","","Records provided by Coleção Científica de Ascidiacea da Universidade Federal do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co562","","","","4"
"co76","Herbário da Pontifícia Universidade Católica do Paraná","","Records provided by Herbário da Pontifícia Universidade Católica do Paraná, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co76","","","","723"
"dp63","Instituto Nacional de Pesquisas da Amazônia","","Records provided by Instituto Nacional de Pesquisas da Amazônia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp63","","","","37"
"dp62","Museu Nacional do Rio de Janeiro","","Records provided by Museu Nacional do Rio de Janeiro, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp62","","","","1923"
"co74","Herbário do Instituto Agronômico Norte","","Records provided by Herbário do Instituto Agronômico Norte, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co74","","","","5"
"co72","Herbário UEC","","Records provided by Herbário UEC, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co72","","","","2753"
"co209","Herbário Geraldo Mariz","","Records provided by Herbário Geraldo Mariz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co209","","","","148"
"co327","Coleção de Anfíbios do Museu de Zoologia da UNICAMP","","Records provided by Coleção de Anfíbios do Museu de Zoologia da UNICAMP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co327","","","","456"
"co70","Herbário da Universidade Federal de Sergipe","","Records provided by Herbário da Universidade Federal de Sergipe, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co70","","","","565"
"dr630","DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos","","Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos, DVPR","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr630","","","","670"
"dr874","Soil macrofauna communities in an organic agroforestry system and under initial native vegetation regeneration at the Assentamento Contestado in Lapa, Paraná, Brazil","","Nadolny H, Da Silva E, Santos A, Seoane C, Froufe L, Demetrio W, Cardoso G, Caroline Conrado A, Brown G (2023): Soil macrofauna communities in an organic agroforestry system and under initial native vegetation regeneration at the Assentamento Contestado in Lapa, Paraná, Brazil. v1.0. No organisation. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=16_soil_macrofauna_sampling_lapacontestado&v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr874","","","","367"
"dr873","Soil macrofauna community in areas with high and low population of Scarab beetle larvae in Lerroville, Paraná, Brazil ","","Brown G, Pasini A, Korasaki V, Oliveira L, Matsumura C, Demetrio W (2023): Soil macrofauna community in areas with high and low population of Scarab beetle larvae in Lerroville, Paraná, Brazil. v1.0. No organisation. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=15_soil_macrofauna_sampling_lerroville&v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr873","","","","98"
"dr510","Herbário Dendrológico Jeanine Felfili","","Herbário Dendrológico Jeanine Felfili - HDJF","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr510","","","","79"
"dr879","Soil macrofauna communities in various land use systems in Canoinhas and Três Barras, Santa Catarina state, Brazil","","Clasen L A, Niva C C, Gabriac Q, Brown G (2023): Soil macrofauna communities in various land use systems in Canoinhas and Três Barras, Santa Catarina state, Brazil. v1.2. Embrapa Forestry. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=soil_macrofauna_clasen&amp;v=1.2","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr879","","","","330"
"dr516","Herbário da Universidade Federal do Rio de Janeiro","","Lopes R C (2023): RFA - Herbário da Universidade Federal do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira. v1.40. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=rfa&v=1.40","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr516","","","","11"
"dr519","Xiloteca do Herbário Joinvillea","","Xiloteca JOIw","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr519","","","","47"
"dr518","Herbário da Universidade da Região de Joinville","","Rinnert C H (2023): JOI - Herbário da Universidade da Região de Joinville. Jabot - Banco de Dados da Flora Brasileira. v1.40. No organisation. Dataset/Occurrence. https://ipt.jbrj.gov.br/jabot/resource?r=joi&v=1.40","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr518","","","","874"
"dr634","Coleção Entomológica do Setor Palotina, Universidade Federal do Paraná","","Trevisan Leivas F W (2023). Coleção Entomológica do Setor Palotina, Universidade Federal do Paraná. Version 1.8. Universidade Federal do Paraná. Occurrence dataset. https://ipt.sibbr.gov.br/taxonline/resource?r=cesp_ufpr_01&v=1.8","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr634","","","","1696"
"dr513","Coleção Entomológica Paulo Nogueira-Neto - IB/USP","","CEPANN - Coleção Entomológica Paulo Nogueira-Neto - IB/USP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr513","","","","1324"
"dr755","Museu Paraense Emilio Goeldi Herbarium","","Records provided by Museu Paraense Emilio Goeldi Herbarium, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr755","","","","128"
"dr633","Herbário RADAMBRASIL","","Carvalho E O (2021): HRB - Herbário RADAMBRASIL. Jabot - Banco de Dados da Flora Brasileira. v1.20. No organisation. Dataset/Occurrence. http://ipt.jbrj.gov.br/jabot/resource?r=hrb&v=1.20","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr633","","","","19"
"dr875","Soil macrofauna communities in native Atlantic Forest fragments and Pinus plantations at the Embrapa Forestry research station in Colombo, Paraná, Brazil","","Sautter K, Floriano P, Brown G, Niva C, Oliveira E, César R, Zagatto M, Fonseca P, Demetrio W (2023): Soil macrofauna communities in native Atlantic Forest fragments and Pinus plantations at the Embrapa Forestry research station in Colombo, Paraná, Brazil. v1.0. No organisation. Dataset/Samplingevent. https://ipt.sibbr.gov.br/sibbr/resource?r=17_soil_macrofauna_sampling_embrapaflorestas&v=1.0","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr875","","","","83"
"dr515","VIES - Herbário da Universidade Federal do Espírito Santo. Jabot - Banco de Dados da Flora Brasileira","","Dutra V, Thomaz L, Calazans L (2024). VIES - Herbário da Universidade Federal do Espírito Santo. Jabot - Banco de Dados da Flora Brasileira. Version 1.46. No organisation. Occurrence dataset. https://ipt.jbrj.gov.br/jabot/resource?r=vies&v=1.46","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr515","","","","117"
"dr999","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","","Herbário da Universidade Estadual do Sudoeste da Bahia, HUESB (huesbjequie@gmail.com)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr999","","","","38"
"co517","Coleção de Peixes do Laboratório de Ictiologia Sistemática da Universidade Federal do Tocantins","","Records provided by Coleção de Peixes do Laboratório de Ictiologia Sistemática da Universidade Federal do Tocantins, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co517","","","","15"
"co510","Banco de DNA de Espécies da Flora Brasileira","","Records provided by Banco de DNA de Espécies da Flora Brasileira, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co510","","","","1"
"dr940","GBIF repatriados | Natural History Museum (London) Collection Specimens","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Natural History Museum (2023). Natural History Museum (London) Collection Specimens. Occurrence dataset https://doi.org/10.5519/0002965 accessed via GBIF.org on 2023-06-27.","other Dataset: Natural History Museum (London) Collection Specimens  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr940","","","","868"
"dr946","GBIF repatriados | California Academy of Science | AntWeb | CC BY - NC 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Fisher B, Fong J (2023). AntWeb. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/wqmjjt accessed via GBIF.org on 2023-07-04.","other Dataset: AntWeb  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr946","","","","923"
"dr945","GBIF repatriados | California Academy of Sciences | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Grinter C, Diaz-Bastin R, Fong J (2023). CAS Entomology Type (TYPE). Version 1.194. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/gak5hc accessed via GBIF.org on 2023-07-04. Magnaghi E, Fong J (2023). CAS Botany (BOT). Version 157.506. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/7gudyo accessed via GBIF.org on 2023-07-04. California Academy of Sciences: CAS Invertebrate Zoology (IZ) https://doi.org/10.15468/tiac99 accessed via GBIF.org on 2023-07-04. Grinter C, Fong J (2023). CAS Entomology (ENT). Version 6.233. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/3ibpmo accessed via GBIF.org on 2023-07-04. Flannery M, Fong J (2023). CAS Ornithology (ORN). Version 126.369. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/ozz2u5 accessed via GBIF.org on 2023-07-04. Scheinberg L, Fong J (2023). CAS Herpetology (HERP). Version 33.95. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/bvoyqy accessed via GBIF.org on 2023-07-04. California Academy of Sciences: CAS Mammalogy (MAM) https://doi.org/10.15468/dhbozg accessed via GBIF.org on 2023-07-04. Catania D (2023): CAS Ichthyology (ICH). v150.375. California Academy of Sciences. Dataset/Occurrence. http://ipt.calacademy.org:8080/resource?r=ich&v=150.375 https://doi.org/10.15468/efh2ib accessed via GBIF.org on 2023-07-04.","other Dataset: CAS Entomology Type (TYPE)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Botany (BOT)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Invertebrate Zoology (IZ)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Entomology (ENT)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Ornithology (ORN)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Herpetology (HERP)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Mammalogy (MAM)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CAS Ichthyology (ICH)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr945","","","","140"
"dr948","GBIF repatriados | Museum of Biological Diversity - The Ohio State University | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Nelson D, Johnson N (2018). Borror Lab of Bioacoustics (BLB), Ohio State University. Version 84.36. Museum of Biological Diversity, The Ohio State University. Occurrence dataset https://doi.org/10.15468/wyz5x9 accessed via GBIF.org on 2023-07-04.","other Dataset: Borror Lab of Bioacoustics (BLB), Ohio State University  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr948","","","","54"
"dr827","Hymenoptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)","","Records provided by Hymenoptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr827","","","","2"
"dr706","Fiocruz/CLIOC - Coleção de Leishmania","","Fiocruz/CLIOC - Coleção de Leishmania. v1.11. FIOCRUZ - Oswaldo Cruz Foundation. Dataset/Occurrence. http://clioc.fiocruz.br","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr706","","","","2"
"dr942","GBIF repatriados | American Museum of Natural History | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Dickey D (2016). AMNH Herpetology Collections. American Museum of Natural History. Occurrence dataset https://doi.org/10.15468/jfkgyh accessed via GBIF.org on 2023-07-25. Trombone T (2013). AMNH Bird Collection. American Museum of Natural History. Occurrence dataset https://doi.org/10.15468/xvzdcm accessed via GBIF.org on 2023-07-25. Trombone T (2016). AMNH Mammal Collections. American Museum of Natural History. Occurrence dataset https://doi.org/10.15468/wu3poe accessed via GBIF.org on 2023-07-25.","other Dataset: AMNH Herpetology Collections  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: AMNH Bird Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: AMNH Mammal Collections  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr942","","","","36"
